session_id,taskID,first_number,second_number,operation,result,difficulty,tries,taskComplete,responseTime,choiceTime 
test,115,72,4,division,18,3,0,True,4200,1100
test,332,52,3,multiplication,156,3,0,True,4500,2100
test,763,1000,560,subtraction,440,2,0,True,4900,2200
test,833,1765,1185,subtraction,580,4,0,True,16400,800
test,855,18807,10354,subtraction,8453,5,0,True,16100,2500
test,846,32099,726,subtraction,31373,5,0,True,33900,1500
test,397,135,8,multiplication,1080,5,0,True,11900,1400
test,632,45458,9601,addition,55059,6,1,True,57600,700
test,146,340,5,division,68,4,0,True,5600,3200
test,91,2640,20,division,132,2,0,True,14400,6800
test,813,666,180,subtraction,486,4,0,True,16900,7300
test,6,18,6,division,3,1,0,True,2800,3500
test,717,45,20,subtraction,25,1,0,True,2100,1300
test,794,930,240,subtraction,690,3,3,False,15300,4800
test,17,16,2,division,8,1,0,True,2200,1300
julia,603,18190,730,addition,18920,4,0,True,7200,4500
julia,145,4900,50,division,98,4,1,True,33400,1500
test,586,118,297,addition,415,4,1,True,19000,1700
test,103,42,14,division,3,3,0,True,3600,2000
julia,834,717,389,subtraction,328,4,1,True,42600,2000
julia,568,81180,49,addition,81229,3,0,True,11300,2100
julia,816,203,19,subtraction,184,4,0,True,9100,3000
julia,556,49,94,addition,143,3,0,True,8100,1700
julia,360,179,3,multiplication,537,4,0,True,13000,1700
julia,808,550,290,subtraction,260,3,0,True,12200,1900
julia,239,3,3,multiplication,9,1,0,True,2100,1900
julia,601,6580,422,addition,7002,4,0,True,14500,1300
julia,131,8100,5,division,1620,4,1,True,16600,1400
julia,115,72,4,division,18,3,0,True,3400,3300
julia,129,112,4,division,28,3,0,True,7200,900
julia,713,27,7,subtraction,20,1,1,True,3200,1800
julia,336,210,5,multiplication,1050,3,0,True,4800,2100
julia,36,590,10,division,59,1,0,True,2900,1700
julia,563,5733,39,addition,5772,3,0,True,7600,10900
julia,799,81,24,subtraction,57,3,0,True,9500,1800
julia,685,8,4,subtraction,4,1,0,True,1500,1800
