session_id,taskID,first_number,second_number,operation,result,difficulty,tries,taskComplete,responseTime
test,600,91555,932,addition,92487,4,0,True,13800
test,135,840,3,division,280,4,1,False,25800
test,135,840,3,division,280,4,1,True,29100
test,591,8092,859,addition,8951,4,1,False,23500
test,591,8092,859,addition,8951,4,1,True,37400
test,596,1559,145,addition,1704,4,0,True,20900
test,323,22,7,multiplication,154,3,1,False,8900
test,323,22,7,multiplication,154,3,1,True,16100
test,816,203,19,subtraction,184,4,0,True,9900
test,150,3620,20,division,181,4,0,True,11700
test,147,640,5,division,128,4,0,True,5900
test,104,56,4,division,14,3,0,True,6200
test,748,46,9,subtraction,37,2,0,True,4300
test,570,36403,2056,addition,38459,3,1,False,12800
test,570,36403,2056,addition,38459,3,1,True,21200
test,378,115,8,multiplication,920,4,0,True,7100
test,171,6870,3,division,2290,5,1,False,22900
test,171,6870,3,division,2290,5,1,True,43700
test,120,8600,4,division,2150,3,0,True,7000
ben,804,109,95,subtraction,14,3,0,True,11400
test,564,76,97,addition,173,3,0,True,9200
test,821,419,86,subtraction,333,4,0,True,19600
test,365,83,8,multiplication,664,4,0,True,13500
test,151,8400,50,division,168,4,0,True,10400
test,355,98,7,multiplication,686,4,0,True,17400
test,833,1765,1185,subtraction,580,4,0,True,22300
test,357,146,6,multiplication,876,4,0,True,17900
test,134,57,19,division,3,4,0,True,6100
test,598,10397,780,addition,11177,4,1,False,18500
test,598,10397,780,addition,11177,4,1,True,33100
test,153,3081,3,division,1027,4,0,True,12700
test,165,680,5,division,136,5,1,False,33100
test,165,680,5,division,136,5,2,False,43800
test,165,680,5,division,136,5,2,True,56200
test,875,71064,4196,subtraction,66868,6,1,False,46100
test,27,1450,145,division,10,1,0,True,2700
test,392,126,9,multiplication,1134,5,0,True,16200
test,368,84,7,multiplication,588,4,0,True,13500
test,371,89,9,multiplication,801,5,0,True,11000
test,603,18190,730,addition,18920,4,0,True,12400
test,621,2098,1413,addition,3511,5,0,True,18800
test,184,132,6,division,22,5,0,True,8400
test,64,420,6,division,70,2,0,True,7600
test,328,17,2,multiplication,34,3,0,True,4700
test,820,648,77,subtraction,571,4,1,False,27400
test,820,648,77,subtraction,571,4,2,False,41700
test,820,648,77,subtraction,571,4,2,True,68600
test,860,68067,84,subtraction,67983,5,0,True,25900
test,420,668,6,multiplication,4008,6,0,True,39600
test,349,121,7,multiplication,847,3,0,True,14000
test,516,14,37,addition,51,2,0,True,11600
test,136,5400,1800,division,3,4,0,True,3400
test,840,45369,980,subtraction,44389,5,1,False,33400
test,840,45369,980,subtraction,44389,5,1,True,58000
test,366,83,9,multiplication,747,4,0,True,19100
onur,340,12,9,multiplication,108,3,0,True,7200
onur,378,115,8,multiplication,920,4,0,True,28200
onur,802,72,35,subtraction,37,3,0,True,6700
onur,595,8048,888,addition,8936,4,0,True,17800
onur,331,51,9,multiplication,459,3,1,False,12600
onur,331,51,9,multiplication,459,3,2,False,23700
onur,811,381,109,subtraction,272,4,0,True,12000
onur,156,1036,4,division,259,4,0,True,13400
onur,832,49320,34,subtraction,49286,4,0,True,12900
