first_number,second_number,result,difficulty,operation
14,7,2,1,division
21,7,3,1,division
28,7,4,1,division
35,7,5,1,division
40,8,5,1,division
12,6,2,1,division
18,6,3,1,division
24,4,6,1,division
30,5,6,1,division
36,6,6,1,division
202,2,101,1,division
32,8,4,1,division
27,3,9,1,division
16,8,2,1,division
10,2,5,1,division
6,2,3,1,division
8,4,2,1,division
16,2,8,1,division
9,3,3,1,division
4,2,2,1,division
18,9,2,1,division
5620,10,562,1,division
2140,10,214,1,division
9820,982,10,1,division
5230,10,523,1,division
9170,10,917,1,division
1790,179,10,1,division
1450,145,10,1,division
88,2,44,1,division
2900,29,100,1,division
120,2,60,1,division
610,61,10,1,division
50,2,25,1,division
44,22,2,1,division
42,21,2,1,division
82,41,2,1,division
590,10,59,1,division
610,10,61,1,division
690,69,10,1,division
8180,10,818,1,division
1300,13,100,1,division
100,4,25,1,division
100,2,50,1,division
44,4,11,1,division
55,11,5,1,division
99,9,11,1,division
110,11,10,1,division
77,7,11,1,division
7280,10,728,1,division
2680,268,10,1,division
45,5,9,1,division
42,6,7,2,division
36,9,4,2,division
56,7,8,2,division
63,9,7,2,division
64,8,8,2,division
48,8,6,2,division
49,7,7,2,division
72,9,8,2,division
54,9,6,2,division
63,7,9,2,division
36,12,3,2,division
48,4,12,2,division
60,5,12,2,division
420,6,70,2,division
45,3,15,2,division
60,4,15,2,division
34,17,2,2,division
36,18,2,2,division
160,8,20,2,division
84,4,21,2,division
75,3,25,2,division
52,26,2,2,division
210,7,30,2,division
9900,3300,3,2,division
1800,2,900,2,division
306,3,102,2,division
8800,8,1100,2,division
404,4,101,2,division
63,21,3,2,division
644,2,322,2,division
6880,20,344,2,division
39,3,13,2,division
70,14,5,2,division
903,3,301,2,division
740,370,2,2,division
9090,9,1010,2,division
520,260,2,2,division
3600,9,400,2,division
639,3,213,2,division
8800,4,2200,2,division
2640,20,132,2,division
2880,2,1440,2,division
3096,3,1032,2,division
58,29,2,2,division
490,7,70,2,division
290,2,145,2,division
318,3,106,2,division
960,480,2,2,division
240,80,3,2,division
65,5,13,3,division
78,6,13,3,division
91,7,13,3,division
42,14,3,3,division
56,4,14,3,division
70,5,14,3,division
84,6,14,3,division
105,5,21,3,division
90,15,6,3,division
48,16,3,3,division
64,4,16,3,division
96,6,16,3,division
51,3,17,3,division
68,4,17,3,division
54,18,3,3,division
72,4,18,3,division
90,5,18,3,division
130,5,26,3,division
140,5,28,3,division
1240,2,620,3,division
8600,4,2150,3,division
126,6,21,3,division
816,4,204,3,division
438,2,219,3,division
3720,20,186,3,division
8400,6,1400,3,division
3200,1600,2,3,division
3260,2,1630,3,division
7900,2,3950,3,division
112,4,28,3,division
460,5,92,4,division
8100,5,1620,4,division
2200,5,440,4,division
75,15,5,4,division
57,19,3,4,division
840,3,280,4,division
5400,1800,3,4,division
8500,1700,5,4,division
450,6,75,4,division
1004,4,251,4,division
9920,20,496,4,division
3780,20,189,4,division
